Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/auth/login,10,7,2100.0,2144.864710001275,2042.3013000108767,2365.955599991139,360.9,0.174729303562229,0.12231051249356029,2100,2100,2300,2400,2400,2400,2400,2400,2400,2400,2400
POST,/api/v1/auth/register,5,5,2400.0,2417.670060004457,2368.6344000016106,2545.5595000094036,225.4,0.0873646517811145,0.0873646517811145,2400,2400,2400,2500,2500,2500,2500,2500,2500,2500,2500
GET,/api/v1/history/stats,18,0,2028.2489999954123,2042.4605000015517,2028.2489999954123,2058.2588000106625,229.27777777777777,0.31451274641201216,0.0,2000,2000,2000,2100,2100,2100,2100,2100,2100,2100,2100
GET,/api/v1/history?page=1&per_page=20,3,0,2100.0,2078.245600006388,2040.4833000065992,2105.4309000028297,612.3333333333334,0.052418791068668695,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
GET,/api/v1/history?page=2&per_page=20,2,2,2030.2926000003936,2033.5340500023449,2030.2926000003936,2036.7755000042962,281.5,0.0349458607124458,0.0349458607124458,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
GET,/api/v1/history?page=3&per_page=20,5,5,2030.5570999917109,2043.0681399971945,2030.5570999917109,2052.249899992603,282.0,0.0873646517811145,0.0873646517811145,2000,2000,2000,2100,2100,2100,2100,2100,2100,2100,2100
POST,/api/v1/predict,6,0,2100.0,2115.5690166730587,2080.7482000091113,2173.838100003195,596.1666666666666,0.10483758213733739,0.0,2100,2100,2100,2100,2200,2200,2200,2200,2200,2200,2200
GET,/api/v1/profile,6,0,2030.8002999954624,2046.0756499984807,2030.8002999954624,2061.791100000846,357.0,0.10483758213733739,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
,Aggregated,55,19,2100.0,2105.2418181836733,2028.2489999954123,2545.5595000094036,334.4,0.9610111695922594,0.3319856767682351,2100,2100,2100,2100,2400,2400,2400,2500,2500,2500,2500
